soi_name,master_comp_security_name,family_name,security_type,normalized_security_name,normalized_soi_name,normalized_family_name
"Cartessa Aesthetics, LLC",Cartessa (TL),Cartessa,First Lien,cartessa term loan,cartessa aesthetics,cartessa
"Cartessa Aesthetics, LLC (Common)",Cartessa (Common Equity),Cartessa,Common Equity,cartessa common equity,cartessa aesthetics common,cartessa
"Cartessa Aesthetics, LLC - Funded Revolver",Cartessa (Revolver),Cartessa,First Lien,cartessa revolver,cartessa aesthetics funded revolver,cartessa
"Cartessa Aesthetics, LLC - Unfunded Revolver",Cartessa (Revolver),Cartessa,,cartessa revolver,cartessa aesthetics unfunded revolver,cartessa
Cascade Environmental Holdings LLC (13.00% PIK),Cascade (Senior Subordinated Notes),Cascade,Subordinated Debt,cascade senior subordinated notes,cascade environmental holdings 13 00 payment in kind,cascade
Cascade Environmental Holdings LLC (Common),Cascade (Common Equity),Cascade,Common Equity,cascade common equity,cascade environmental holdings common,cascade
Cascade Environmental Holdings LLC (Preffered),Cascade (Preferred Equity),Cascade,Preferred Equity,cascade preferred equity,cascade environmental holdings preffered,cascade
"Cascade Environmental Holdings, LLC",Cascade (Common Equity),Cascade,Common Equity,cascade common equity,cascade environmental holdings,cascade
"Cascade Environmental Holdings, LLC (13.00% PIK)",Cascade (Senior Subordinated Notes),Cascade,Subordinated Debt,cascade senior subordinated notes,cascade environmental holdings 13 00 payment in kind,cascade
"Cascade Environmental Holdings, LLC (Common)",Cascade (Common Equity),Cascade,Common Equity,cascade common equity,cascade environmental holdings common,cascade
"Cascade Environmental Holdings, LLC (Preferred)",Cascade (Preferred Equity),Cascade,Preferred Equity,cascade preferred equity,cascade environmental holdings preferred,cascade
"Case Works, LLC ",Case Works Group (Term Loan) ,Case Works Group,First Lien,case works group term loan,case works,case works group
"Case Works, LLC ",Case Works Group (DDTL) ,Case Works Group,First Lien,case works group delayed draw term loan,case works,case works group
"Case Works, LLC ",Case Works Group (Revolver) ,Case Works Group,First Lien,case works group revolver,case works,case works group
"Challenger Performance Optimization, Inc.",Challenger (TL),Challenger,First Lien,challenger term loan,challenger performance optimization,challenger
"Challenger Performance Optimization, Inc. - Funded Revolver",Challenger (Rev),Challenger,First Lien,challenger revolver,challenger performance optimization funded revolver,challenger
"Challenger Performance Optimization, Inc. - Unfunded Revolver",Challenger (Rev),Challenger,First Lien,challenger revolver,challenger performance optimization unfunded revolver,challenger
"Compex Legal Services, Inc.",Compex (TL),Compex Legal,First Lien,compex term loan,compex legal services,compex legal
"Compex Legal Services, Inc.",Compex (Incremental TL),Compex Legal,First Lien,compex incremental term loan,compex legal services,compex legal
"Compex Legal Services, Inc. ",Compex (TL),Compex Legal,First Lien,compex term loan,compex legal services,compex legal
"Compex Legal Services, Inc. - Funded Revolver",Compex (Rev),Compex Legal,First Lien,compex revolver,compex legal services funded revolver,compex legal
"Compex Legal Services, Inc. - Unfunded Revolver",Compex (Rev),Compex Legal,First Lien,compex revolver,compex legal services unfunded revolver,compex legal
"Compex Legal Services, Inc. - Unfunded Term Loan",Compex (DDTL),Compex Legal,First Lien,compex delayed draw term loan,compex legal services unfunded term loan,compex legal
"Condor Borrower, LLC",Comodo (TL),,Second Lien,comodo term loan,condor borrower,
Condor Holdings Limited,Comodo (P Equity 1),,Preferred Equity,comodo p equity 1,condor holdings,
Condor Top Holdco Limited,Comodo (P Equity 2),,Preferred Equity,comodo p equity 2,condor top holdco,
Confie Seguros Holding Co.,Confie Seguros (TL),Confie Seguros,Second Lien,confie seguros term loan,confie seguros holding,confie seguros
"Confluent Health, LLC",Confluent Health (TL),Confluent Health,First Lien,confluent health term loan,confluent health,confluent health
"Confluent Health, LLC",Confluent Health (Incremental TL),Confluent Health,First Lien,confluent health incremental term loan,confluent health,confluent health
"Confluent Health, LLC - Unfunded Term Loan",Confluent Health (DDTL),Confluent Health,First Lien,confluent health delayed draw term loan,confluent health unfunded term loan,confluent health
"Connatix Buyer, Inc.",Connatix (Term Loan),Connatix,First Lien,connatix term loan,connatix buyer,connatix
"Connatix Buyer, Inc. - Funded Revolver",Connatix (Revolver),Connatix,First Lien,connatix revolver,connatix buyer funded revolver,connatix
"Connatix Buyer, Inc. - Unfunded Revolver",Connatix (Revolver),Connatix,First Lien,connatix revolver,connatix buyer unfunded revolver,connatix
"Connatix Buyer, Inc. - Unfunded Term Loan",Connatix (DDTL),Connatix,First Lien,connatix delayed draw term loan,connatix buyer unfunded term loan,connatix
"Connatix Parent, LLC",Connatix (Common Equity),Connatix,Common Equity,connatix common equity,connatix parent,connatix
"Consello Pacific Aggregator, LLC",ProSearch (Common Equity),ProSearch,Common Equity,prosearch common equity,consello pacific aggregator,prosearch
Convergint,Convergint (TL),Convergint,First Lien,convergint term loan,convergint,convergint
"CoolSys, Inc.",CoolSys (TL),CoolSys,First Lien,coolsys term loan,coolsys,coolsys
"CoolSys, Inc. - Unfunded Term Loan",CoolSys (DDTL),CoolSys,First Lien,coolsys delayed draw term loan,coolsys unfunded term loan,coolsys
"Cornerstone Advisors of Arizona, LLC",Cornerstone Advisors (Revolver),Cornerstone Advisors,First Lien,cornerstone advisors revolver,cornerstone advisors of arizona,cornerstone advisors
"Cornerstone Advisors of Arizona, LLC",Cornerstone Advisors (Term Loan),Cornerstone Advisors,First Lien,cornerstone advisors term loan,cornerstone advisors of arizona,cornerstone advisors
Country Fresh Holding Company Inc.,Country Fresh (Common Equity),Country Fresh,Common Equity,country fresh common equity,country fresh holding,country fresh
"Country Fresh Holdings, LLC",Country Fresh,,First Lien,country fresh,country fresh holdings,
"Country Fresh Holdings, LLC (All PIK)",Country Fresh (2L Term Loan),Country Fresh,Second Lien,country fresh second lien term loan,country fresh holdings all payment in kind,country fresh
"Country Fresh Holdings, LLC - First Out",Country Fresh (Interim Bridge),Country Fresh,First Lien,country fresh interim bridge,country fresh holdings first out,country fresh
"Country Fresh Holdings, LLC - First Out - Unfunded Term Loan",Country Fresh (Interim Bridge DDTL),,First Lien,country fresh interim bridge delayed draw term loan,country fresh holdings first out unfunded term loan,
"Country Fresh Holdings, LLC - Funded Revolver",Country Fresh (Revolver),Country Fresh,First Lien,country fresh revolver,country fresh holdings funded revolver,country fresh
"Country Fresh Holdings, LLC - Super Senior Term Loan",Country Fresh (Super Senior TL),Country Fresh,First Lien,country fresh super senior term loan,country fresh holdings super senior term loan,country fresh
"Country Fresh Holdings, LLC - Unfunded Revolver",Country Fresh (Revolver),Country Fresh,First Lien,country fresh revolver,country fresh holdings unfunded revolver,country fresh
"Cowboy Parent LLC (Blackhawk Industrial Distribution, Inc.)",BlackHawk Industrial (Common Equity),BlackHawk Industrial,Common Equity,blackhawk industrial common equity,cowboy parent blackhawk industrial distribution,blackhawk industrial
"Crane 1 Acquisition Parent Holdings, L.P.",Crane 1 (Common Equity),Crane 1,Common Equity,crane 1 common equity,crane 1 acquisition parent holdings l p,crane 1
"Crane 1 Services, Inc. - Funded Revolver",Crane 1 (Revolver),Crane 1,First Lien,crane 1 revolver,crane 1 services funded revolver,crane 1
"DBI Holding, LLC - Series A-1 (All PIK)",DBI (Preferred),,Preferred Equity,dbi preferred,dbi holding series a 1 all payment in kind,
"DBI Holding, LLC - Series B",DBI (Common),,Common Equity,dbi common,dbi holding series b,
"DBI Holding, LLC - Term Loan B (All PIK)",DBI (Term Loan B),,Second Lien,dbi term loan b,dbi holding term loan b all payment in kind,
"DBI Holding, LLC - Term Loan C (All PIK)",DBI (Term Loan C),,Second Lien,dbi term loan c,dbi holding term loan c all payment in kind,
"DG Investment Intermediate Holdings 2, Inc.",Convergint (TL),Convergint,First Lien,convergint term loan,dg investment intermediate holdings 2,convergint
DRI Holding Inc.,Digital Room,Digital Room,First Lien,digital room,dri holding,digital room
DRI Holding Inc.,Digital Room (Term Loan),Digital Room,First Lien,digital room term loan,dri holding,digital room
DRS Holdings III,Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien,dr scholls term loan,drs holdings iii,dr scholls
"DRS Holdings III, Inc.",Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien,dr scholls term loan,drs holdings iii,dr scholls
"DRS Holdings III, Inc. ",Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien,dr scholls term loan,drs holdings iii,dr scholls
"DRS Holdings III, Inc. - Funded Revolver",Dr. Scholl's (Revolver),Dr. Scholl's,First Lien,dr scholls revolver,drs holdings iii funded revolver,dr scholls
"DRS Holdings III, Inc. - Unfunded Revolver",Dr. Scholl's (Revolver),Dr. Scholl's,First Lien,dr scholls revolver,drs holdings iii unfunded revolver,dr scholls
DX Electric,DX Electric (Revolver),DX Electric,First Lien,dx electric revolver,dx electric,dx electric
"DX Electric Company, LLC",DX Electric (Common Equity),DX Electric,Common Equity,dx electric common equity,dx electric,dx electric
"DX Electric Company, LLC",DX Electric (Term Loan),DX Electric,First Lien,dx electric term loan,dx electric,dx electric
"DX Electric Company, LLC",DX Electric (Revolver),DX Electric,First Lien,dx electric revolver,dx electric,dx electric
"Data Axle, Inc.",Infogroup,Infogroup,Second Lien,infogroup,data axle,infogroup
Datalot Inc.,Datalot (TL),,First Lien,datalot term loan,datalot,
Datalot Inc. - Funded Revolver,Datalot (Revolver),,First Lien,datalot revolver,datalot funded revolver,
Datalot Inc. - Unfunded Revolver,Datalot (Revolver),,First Lien,datalot revolver,datalot unfunded revolver,
DecoPac Holdings Inc.,DecoPac (Equity),,Common Equity,decopac equity,decopac holdings,
"DecoPac, Inc.",DecoPac (Second Lien),,Second Lien,decopac second lien,decopac,
"Deerfield Dakota Holding, LLC",Kroll (TL),Kroll,First Lien,kroll term loan,deerfield dakota holding,kroll
Delta InvestCo LP,Sigma Defense (Equity),Sigma Defense,Common Equity,sigma defense equity,delta investco,sigma defense
"Delta InvestCo LP (Sigma Defense Systems, LLC)",Sigma Defense (Equity),Sigma Defense,Common Equity,sigma defense equity,delta investco sigma defense systems,sigma defense
"Delta InvestCo LP (Sigma Defense Systems, LLC) - Unfunded",Sigma Defense (Equity),Sigma Defense,Common Equity,sigma defense equity,delta investco sigma defense systems unfunded,sigma defense
Delta InvestCo LP - Unfunded,Sigma Defense (Equity),Sigma Defense,Common Equity,sigma defense equity,delta investco unfunded,sigma defense
DermaRite Industries LLC,DermaRite,DermaRite,First Lien,dermarite,dermarite industries,dermarite
Douglas Products and Packaging Company LLC,Douglas (Term Loan),Douglas,First Lien,douglas term loan,douglas products and packaging,douglas
Douglas Products and Packaging Company LLC - Funded Revolver,Douglas (Revolver),Douglas,First Lien,douglas revolver,douglas products and packaging funded revolver,douglas
Douglas Products and Packaging Company LLC - Unfunded Revolver,Douglas (Revolver),Douglas,First Lien,douglas revolver,douglas products and packaging unfunded revolver,douglas
Douglas Products and Packaging Company LLC(1st),Douglas (Term Loan),Douglas,First Lien,douglas term loan,douglas products and packaging llc1st,douglas
"Douglas Sewer Intermediate, LLC",Douglas (Term Loan),Douglas,First Lien,douglas term loan,douglas sewer intermediate,douglas
"Douglas Sewer Intermediate, LLC ",Douglas (Term Loan),Douglas,First Lien,douglas term loan,douglas sewer intermediate,douglas
"Douglas Sewer Intermediate, LLC - Unfunded Term Loan",Douglas (Term Loan),Douglas,First Lien,douglas term loan,douglas sewer intermediate unfunded term loan,douglas
"Dr. Squatch, LLC",Dr. Squatch (Term Loan),Dr. Squatch,First Lien,dr squatch term loan,dr squatch,dr squatch
"Dr. Squatch, LLC - Funded Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien,dr squatch revolver,dr squatch funded revolver,dr squatch
"Dr. Squatch, LLC - Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien,dr squatch revolver,dr squatch revolver,dr squatch
"Dr. Squatch, LLC - Term Loan",Dr. Squatch (Term Loan),Dr. Squatch,First Lien,dr squatch term loan,dr squatch term loan,dr squatch
"Dr. Squatch, LLC - Unfunded Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien,dr squatch revolver,dr squatch unfunded revolver,dr squatch
"Dr. Squatch, LLC - Unfunded Term Loan",Dr. Squatch (DDTL),Dr. Squatch,First Lien,dr squatch delayed draw term loan,dr squatch unfunded term loan,dr squatch
"Duggal Acquisition,  LLC",Duggal (Common Equity),Duggal Visual Solutions,Common Equity,duggal common equity,duggal acquisition,duggal visual solutions
"Duggal Acquisition,  LLC",Duggal (Term Loan),Duggal Visual Solutions,First Lien,duggal term loan,duggal acquisition,duggal visual solutions
"Duggal Acquisition,  LLC",Duggal (DDTL),Duggal Visual Solutions,First Lien,duggal delayed draw term loan,duggal acquisition,duggal visual solutions
"Duggal Acquisition,  LLC",Duggal (Revolver),Duggal Visual Solutions,First Lien,duggal revolver,duggal acquisition,duggal visual solutions
Duraco Specialty Tapes LLC,Duraco (Term Loan),The Duraco Group,First Lien,duraco term loan,duraco specialty tapes,the duraco group
Duraco Specialty Tapes LLC - Unfunded Term Loan,Duraco (DDTL),The Duraco Group,First Lien,duraco delayed draw term loan,duraco specialty tapes unfunded term loan,the duraco group
ECL Entertainment,ECL Entertainment (Term Loan),ECL Entertainment,First Lien,ecl entertainment term loan,ecl entertainment,ecl entertainment
"ECL Entertainment, LLC",ECL Entertainment (Term Loan),ECL Entertainment,First Lien,ecl entertainment term loan,ecl entertainment,ecl entertainment
"ECM Industries, LLC",ECM Industries (TL),ECM Industries,First Lien,ecm industries term loan,ecm industries,ecm industries
"ECM Industries, LLC - Funded Revolver",ECM Industries (RC),ECM Industries,First Lien,ecm industries revolver,ecm industries funded revolver,ecm industries
"ECM Industries, LLC - Unfunded Revolver",ECM Industries (RC),ECM Industries,First Lien,ecm industries revolver,ecm industries unfunded revolver,ecm industries
"ECM Investors, LLC",ECM Industries (Common Equity),ECM Industries,Common Equity,ecm industries common equity,ecm investors,ecm industries
"ECM Investors, LLC (Common)",ECM Industries (Common Equity),ECM Industries,Common Equity,ecm industries common equity,ecm investors common,ecm industries
"EDS Buyer, LLC",Epiq (TL),Epiq,First Lien,epiq term loan,eds buyer,epiq
"EDS Buyer, LLC",Epiq (Revolver),Epiq,First Lien,epiq revolver,eds buyer,epiq
"EDS Buyer, LLC ",Epiq (DDTL),Epiq,First Lien,epiq delayed draw term loan,eds buyer,epiq
"EDS Topco, LLC",Epiq (Common),Epiq,Common Equity,epiq common,eds topco,epiq
ENC Parent Corporation,Evans Network (1L),Evans Network,First Lien,evans network first lien,enc parent corporation,evans network
ENC Parent Corporation,Evans Network (2L),Evans Network,Second Lien,evans network second lien,enc parent corporation,evans network
ETE INTERMEDIATE II LLC,Engine & Transmission Exchange (Term Loan),Engine & Transmission Exchange,First Lien,engine transmission exchange term loan,ete intermediate ii,engine transmission exchange
ETE INTERMEDIATE II LLC,Engine & Transmission Exchange (Revolver),Engine & Transmission Exchange,First Lien,engine transmission exchange revolver,ete intermediate ii,engine transmission exchange
"ETX Energy Management Company, LLC (f/k/a NGR Management Company, LLC)",New Gulf Resources (Common),New Gulf Resources,Common Equity,new gulf resources common,etx energy management f k a ngr management,new gulf resources
"ETX Energy, LLC",New Gulf Resources (Preferred),New Gulf Resources,Preferred Equity,new gulf resources preferred,etx energy,new gulf resources
"ETX Energy, LLC (f/k/a New Gulf Resources, LLC)",New Gulf Resources (Common),New Gulf Resources,Common Equity,new gulf resources common,etx energy f k a new gulf resources,new gulf resources
EVAL HOME HEALTH SOLUTIONS INTERMEDIATE L.L.C.,EvAl (Term Loan),EvAl,First Lien,eval term loan,eval home health solutions intermediate l l c,eval
EVAL HOME HEALTH SOLUTIONS INTERMEDIATE L.L.C.,EvAl (Revolver),EvAl,First Lien,eval revolver,eval home health solutions intermediate l l c,eval
"EVAL HOME HEALTH SOLUTIONS, L.L.C.",EvAl (Common Equity),EvAl,Common Equity,eval common equity,eval home health solutions l l c,eval
"EXPRESS WASH ACQUISITION COMPANY, LLC",Magnolia (Subordinated Debt),Magnolia,Subordinated Debt,magnolia subordinated debt,express wash acquisition,magnolia
East Valley Tourist Development Authority,Fantasy Springs,,First Lien,fantasy springs,east valley tourist development authority,
"Education Networks of America, Inc.",Education Networks (TL),,First Lien,education networks term loan,education networks of america,
"Education Networks of America, Inc. (2.50% PIK)",Education Networks (TL),,First Lien,education networks term loan,education networks of america 2 50 payment in kind,
"Education Networks of America, Inc. - Funded Revolver",Education Networks (Revolver),,First Lien,education networks revolver,education networks of america funded revolver,
"Education Networks of America, Inc. - Unfunded Revolver",Education Networks (Revolver),,First Lien,education networks revolver,education networks of america unfunded revolver,
"Efficient Collaborative Retail Marketing Company, LLC",ECRM,ECRM,First Lien,ecrm,efficient collaborative retail marketing,ecrm
"Eisner Advisory Group, LLC",EisnerAmper (Term Loan B),EisnerAmper,First Lien,eisneramper term loan b,eisner advisory group,eisneramper
Electro Rent Corporation,Electro Rent,Electro Rent,Second Lien,electro rent,electro rent corporation,electro rent
Electro Rent Corporation,Electro Rent (1L),Electro Rent,First Lien,electro rent first lien,electro rent corporation,electro rent
Emergency Care Partners LLC,Emergency Care Partners (DDTL),Emergency Care Partners,First Lien,emergency care partners delayed draw term loan,emergency care partners,emergency care partners
Emergency Care Partners LLC,Emergency Care Partners (Term Loan),Emergency Care Partners,First Lien,emergency care partners term loan,emergency care partners,emergency care partners
Emergency Care Partners LLC,Emergency Care Partners (Revolver),Emergency Care Partners,First Lien,emergency care partners revolver,emergency care partners,emergency care partners
"Empire Resorts, Inc.",Empire Resorts,,First Lien,empire resorts,empire resorts,
"Events Buyer, LLC",360DG (Revolver),360DG,First Lien,360dg revolver,events buyer,360dg
"Events Buyer, LLC",360DG (Term Loan),360DG,First Lien,360dg term loan,events buyer,360dg
"Events Buyer, LLC",360DG (DDTL B),360DG,First Lien,360dg delayed draw term loan b,events buyer,360dg
"Events Buyer, LLC",360DG (DDTL A),360DG,First Lien,360dg delayed draw term loan a,events buyer,360dg
"Events Buyer, LLC",360DG (Common Equity),360DG,First Lien,360dg common equity,events buyer,360dg
"Events TopCo, LP ",360DG (Common Equity),360DG,Common Equity,360dg common equity,events topco,360dg
"Exigo Intermediate II, LLC",Exigo (Term Loan),Exigo,First Lien,exigo term loan,exigo intermediate ii,exigo
"Exigo Intermediate II, LLC - Funded Revolver",Exigo (Revolver),Exigo,First Lien,exigo revolver,exigo intermediate ii funded revolver,exigo
"Exigo Intermediate II, LLC - Unfunded Revolver",Exigo (Revolver),Exigo,First Lien,exigo revolver,exigo intermediate ii unfunded revolver,exigo
"Exigo Intermediate II, LLC - Unfunded Term Loan",Exigo (DDTL),Exigo,First Lien,exigo delayed draw term loan,exigo intermediate ii unfunded term loan,exigo
Exigo LLC - Equity,Exigo (Common Equity),Exigo,Common Equity,exigo common equity,exigo equity,exigo
"Exigo, LLC",Exigo (Common Equity),Exigo,Common Equity,exigo common equity,exigo,exigo
"Express Wash Acquisition Company, LLC",Magnolia (First Lien Term Loan),Magnolia,First Lien,magnolia first lien term loan,express wash acquisition,magnolia
"Express Wash Acquisition Company, LLC",Magnolia (Revolver),Magnolia,First Lien,magnolia revolver,express wash acquisition,magnolia
"Express Wash Topco, LLC",Magnolia (Common Equity),Magnolia,Common Equity,magnolia common equity,express wash topco,magnolia
"Express Wash Topco, LLC",Magnolia (Preferred Equity),Magnolia,Common Equity,magnolia preferred equity,express wash topco,magnolia
EyeCare Partners,Eyecare Partners (SOTL),EyeCare Partners,Second Lien,eyecare partners sotl,eyecare partners,eyecare partners
Fairbanks More Defense,Fairbanks Morse Defense (Term Loan),Fairbanks Morse Defense,First Lien,fairbanks morse defense term loan,fairbanks more defense,fairbanks morse defense
Fairbanks Morse Defense,Fairbanks Morse Defense (Term Loan),Fairbanks Morse Defense,First Lien,fairbanks morse defense term loan,fairbanks morse defense,fairbanks morse defense
"Falcon Investment Holdings, L.P.",nThrive (Senior Common Equity),nThrive,Common Equity,nthrive senior common equity,falcon investment holdings l p,nthrive
"Falcon Investment Holdings, L.P. - Funded Senior Common Equity",nThrive (Senior Common Equity),nThrive,Common Equity,nthrive senior common equity,falcon investment holdings l p funded senior common equity,nthrive
"Falcon Investment Holdings, L.P. - Unfunded",nThrive (Senior Common Equity - Unfunded),nThrive,Common Equity,nthrive senior common equity unfunded,falcon investment holdings l p unfunded,nthrive
"Falcon Investment Holdings, L.P. - Unfunded Senior Common Equity",nThrive (Senior Common Equity - Unfunded),nThrive,Common Equity,nthrive senior common equity unfunded,falcon investment holdings l p unfunded senior common equity,nthrive
FedHC InvestCo II LP,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity,federal advisory partners common equity,fedhc investco ii,federal advisory partners
FedHC InvestCo LP,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity,federal advisory partners common equity,fedhc investco,federal advisory partners
FedHC InvestCo LP - Unfunded,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity,federal advisory partners common equity,fedhc investco unfunded,federal advisory partners
Findex Group Limited,Findex (TL),Findex,First Lien,findex term loan,findex group,findex
"First Medical MSO, LLC",First Medical Associates (DDTL),First Medical Associates,First Lien,first medical associates delayed draw term loan,first medical mso,first medical associates
"First Medical MSO, LLC",First Medical Associates (Term Loan),First Medical Associates,First Lien,first medical associates term loan,first medical mso,first medical associates
"First Medical MSO, LLC",First Medical Associates (Revolver),First Medical Associates,First Lien,first medical associates revolver,first medical mso,first medical associates
"First Medical MSO, LLC",First Medical Associates (Common Equity),First Medical Associates,Common Equity,first medical associates common equity,first medical mso,first medical associates
"Five Star Buyer, Inc. - Revolver",Five Star (Revolver),Five Star,First Lien,five star revolver,five star buyer revolver,five star
"Five Star Buyer, Inc. - Revolver ",Five Star (Revolver),First Star,First Lien,five star revolver,five star buyer revolver,first star
"Five Star Buyer, Inc. - Unfunded Term Loan ",Five Star (DDTLB),First Star,First Lien,five star delayed draw term loan b,five star buyer unfunded term loan,first star
"Five Star Buyer, Inc. ",Five Star (TL),First Star,First Lien,five star term loan,five star buyer,first star
"Five Star Buyer, Inc. ",Five Star (Preferred Equity),First Star,First Lien,five star preferred equity,five star buyer,first star
"Five Star Parent Holdings, LLC",Five Star (Common Equity),Five Star,Common Equity,five star common equity,five star parent holdings,five star
"Five Star Parent Holdings, LLC  ",Five Star (Common Equity),First Star,Common Equity,five star common equity,five star parent holdings,first star
"FlexPrint, LLC",FlexPrint (Term Loan),,First Lien,flexprint term loan,flexprint,
"FlexPrint, LLC - DDTL",FlexPrint (DDTL),,First Lien,flexprint delayed draw term loan,flexprint delayed draw term loan,
"FlexPrint, LLC - Unfunded Term Loan",FlexPrint (DDTL),,First Lien,flexprint delayed draw term loan,flexprint unfunded term loan,
"Flock Financial, LLC",Flock Financial (Mezzanine),Flock Financial,Subordinated Debt,flock financial mezzanine,flock financial,flock financial
GAUGE ETE BLOCKER LLC,Engine & Transmission Exchange (Promissory Note),Engine & Transmission Exchange,Promissory Note,engine transmission exchange promissory note,gauge ete blocker,engine transmission exchange
GAUGE ETE BLOCKER LLC,Engine & Transmission Exchange (Common Equity),Engine & Transmission Exchange,Common Equity,engine transmission exchange common equity,gauge ete blocker,engine transmission exchange
GCOM InvestCo LP,GCOM (Common Equity),GCOM,Common Equity,gcom common equity,gcom investco,gcom
GCOM InvestCo LP (Unfunded),GCOM (Common Equity),GCOM,Common Equity,gcom common equity,gcom investco unfunded,gcom
GCOM Software LLC,GCOM (Term Loan),GCOM,First Lien,gcom term loan,gcom software,gcom
GCOM Software LLC ,GCOM (Term Loan),GCOM,First Lien,gcom term loan,gcom software,gcom
GCOM Software LLC - Funded Revolver,GCOM (Revolver),GCOM,First Lien,gcom revolver,gcom software funded revolver,gcom
GCOM Software LLC - Unfunded Revolver,GCOM (Revolver),GCOM,First Lien,gcom revolver,gcom software unfunded revolver,gcom
"GCP Boss Holdco, LLC",Boss Industries (Common Equity),Boss Industries,Common Equity,boss industries common equity,gcp boss holdco,boss industries
"GGG Midco, LLC",Guild Garage Group (DDTL),Guild Garage Group,First Lien,guild garage group delayed draw term loan,ggg midco,guild garage group
"GGG Midco, LLC",Guild Garage Group (Term Loan),Guild Garage Group,First Lien,guild garage group term loan,ggg midco,guild garage group
"GGG Midco, LLC",Guild Garage Group (Revolver),Guild Garage Group,First Lien,guild garage group revolver,ggg midco,guild garage group
"GGG Topco, LLC",Guild Garage Group (Common Equity),Guild Garage Group,Common Equity,guild garage group common equity,ggg topco,guild garage group
"GLD, LLC",GLD (Term Loan),GLD,First Lien,gld term loan,gld,gld
"GMP HILLS, LP",Plimpton & Hills (Common Equity),Plimpton & Hills,Common Equity,plimpton hills common equity,gmp hills,plimpton hills
"GRAFFITI BUYER, INC.",Painters Supply and Equipment (Term Loan),Painters Supply and Equipment,First Lien,painters supply and equipment term loan,graffiti buyer,painters supply and equipment
"GRAFFITI BUYER, INC. - Unfunded Revolver",Painters Supply and Equipment (Revolver),Painters Supply and Equipment,First Lien,painters supply and equipment revolver,graffiti buyer unfunded revolver,painters supply and equipment
"GRAFFITI BUYER, INC. - Unfunded Term Loan",Painters Supply and Equipment (DDTL),Painters Supply and Equipment,First Lien,painters supply and equipment delayed draw term loan,graffiti buyer unfunded term loan,painters supply and equipment
Gantech Acquisition Corp.,GCOM (Term Loan),GCOM,First Lien,gcom term loan,gantech acquisition,gcom
Gantech Acquisition Corp. - Funded Revolver,GCOM (Revolver),GCOM,First Lien,gcom revolver,gantech acquisition funded revolver,gcom
Gantech Acquisition Corp. - Unfunded Revolver,GCOM (Revolver),GCOM,First Lien,gcom revolver,gantech acquisition unfunded revolver,gcom
Gauge Infosoft Coinvest LLC,Infosoft (Common Equity),Infosoft,Common Equity,infosoft common equity,gauge infosoft coinvest,infosoft
"Gauge InfosoftCoInvest, LLC (The Infosoft Group, LLC)",Infosoft (Common Equity),Infosoft,Common Equity,infosoft common equity,gauge infosoftcoinvest the infosoft group,infosoft
Gauge Lash Coinvest LLC,Lilly Lashes (Equity),Lilly Lashes,Common Equity,lilly lashes equity,gauge lash coinvest,lilly lashes
Gauge Loving Tan LP,Loving Tan (Equity),Loving Tan,Common Equity,loving tan equity,gauge loving tan,loving tan
Gauge Schlesinger Coinvest LLC,Schlesinger (Term Loan),Schlesinger,Term Loan,schlesinger term loan,gauge schlesinger coinvest,schlesinger
Gauge Schlesinger Coinvest LLC,Schlesinger (Equity),Schlesinger,Common Equity,schlesinger equity,gauge schlesinger coinvest,schlesinger
"Gauge TVC Coinvest, LLC (TVC Enterprises, LLC)",TVC (Equity),TVC,Common Equity,tvc equity,gauge tvc coinvest tvc enterprises,tvc
"Gen3 Marketing, LLC - Unfunded Revolver",Gen3 Marketing (Revolver),Gen3 Marketing,First Lien,gen3 marketing revolver,gen3 marketing unfunded revolver,gen3 marketing
"Gen3 Marketing, LLC - Unfunded Term Loan",Gen3 Marketing (DDTL),Gen3 Marketing,First Lien,gen3 marketing delayed draw term loan,gen3 marketing unfunded term loan,gen3 marketing
Global Holdings InterCo LLC,Global (Term Loan),Global,First Lien,global term loan,global holdings interco,global
"Go Dawgs Capital III, LP (American Insulated Glass, LLC)",American Insulated Glass (Common Equity),American Insulated Glass,Common Equity,american insulated glass common equity,go dawgs capital iii american insulated glass,american insulated glass
Good2Grow LLC,Good2Grow (Term Loan),Good2Grow,First Lien,good2grow term loan,good2grow,good2grow
Good2Grow LLC - Funded Revolver,Good2Grow (Revolver),Good2Grow,First Lien,good2grow revolver,good2grow funded revolver,good2grow
Good2Grow LLC - Unfunded Revolver,Good2Grow (Revolver),Good2Grow,First Lien,good2grow revolver,good2grow unfunded revolver,good2grow
Good2Grow LLC - Unfunded Revolver - LC,Good2Grow (Revolver),Good2Grow,First Lien,good2grow revolver,good2grow unfunded revolver lc,good2grow
"Graffiti Buyer, Inc. - Funded Revolver",Painters Supply and Equipment (Revolver),Painters Supply and Equipment,First Lien,painters supply and equipment revolver,graffiti buyer funded revolver,painters supply and equipment
