"soi_name","master_comp_security_name","family_name","security_type"
Marketplace Events LLC - Unfunded Revolver,Marketplace Events (Revolver),Marketplace Events,First Lien
"Marketplace Events, LLC",Marketplace Events (USD Term Loan),Marketplace Events,First Lien
"Marketplace Events, LLC - Super Priority First Lien Term Loan",Marketplace Events (USD Term Loan),Marketplace Events,First Lien
"Marketplace Events, LLC - Super Priority First Lien Unfunded Term Loan",Marketplace Events (DDTL),Marketplace Events,First Lien
Mars Acquisition Holdings Corp.,Mars Agency (Term Loan),Mars Agency,First Lien
Mars Acquisition Holdings Corp. - Unfunded Revolver,Mars Agency (Revolver),Mars Agency,First Lien
"Mars Intermediate Holdings II, Inc. (Common)",Mars Agency (Common Equity),Mars Agency,Common Equity
"Mars Intermediate Holdings II, Inc. (Preferred)",Mars Agency (Preferred Equity),Mars Agency,Preferred Equity
"Maury Microwave, Inc",Maury Microwave (Term Loan),Maury Microwave,First Lien
"McAfee, LLC (First Lien)",McAfee (First Lien),McAfee,First Lien
"Meadowlark Acquirer, LLC",Meadowlark (Term Loan),Meadowlark,First Lien
"Meadowlark Acquirer, LLC - Unfunded Revolver",Meadowlark (Revolver),Meadowlark,First Lien
"Meadowlark Acquirer, LLC - Unfunded Term Loan I",Meadowlark (DDTL I),Meadowlark,First Lien
"Meadowlark Acquirer, LLC - Unfunded Term Loan II",Meadowlark (DDTL II),Meadowlark,First Lien
"Meadowlark Title, LLC",Meadowlark (Common Equity),Meadowlark,Common Equity
"Meadowlark Title, LLC - Equity",Meadowlark (Common Equity),Meadowlark,Common Equity
"MedAssets Software Intermediate Holdings, Inc.",nThrive (Term Loan),"",First Lien
"MedAssets Software Preferred Intermediate Holdings, Inc.",nThrive (Preferred Equity),nThrive,Preferred Equity
"MedAssets Software Preferred Intermediate Holdings, Inc. (Preferred)",nThrive (Preferred Equity),nThrive,Preferred Equity
"Megawatt Acquisition Partners, LLC",Mission Microwave (Common Equity),Mission Microwave,Common Equity
"MeritDirect Holdings, LP (C)",MeritDirect (Common Equity),MeritDirect,Common Equity
"MeritDirect Holdings, LP (Common)",MeritDirect (Common Equity),MeritDirect,Common Equity
"MeritDirect Holdings, LP (P)",MeritDirect (Preferred Equity),MeritDirect,Preferred Equity
"MeritDirect Holdings, LP (Preferred)",MeritDirect (Preferred Equity),MeritDirect,Preferred Equity
"MeritDirect, LLC - Funded Revolver",MeritDirect (Revolver),MeritDirect,First Lien
"MeritDirect, LLC - Unfunded Revolver",MeritDirect (Revolver),MeritDirect,First Lien
Michael Baker International LLC,Michael Baker (Term Loan),Michael Baker,First Lien
MidOcean JF Holdings Corp.,Jones & Frank (Common),Jones & Frank,Common Equity
MidOcean JF Holdings Corp. (P),Jones & Frank (Preferred),Jones & Frank,Preferred Equity
MidOcean JF Holdings Corp. (Series B),Jones & Frank (Series B),Jones & Frank,Preferred Equity
MidOcean JF Holdings Corp. (TL),Jones & Frank (TL),Jones & Frank,First Lien
Mission Critical Electronics - Funded Revolver,MCE (Revolver),Mission Critical Electronics,First Lien
Mission Critical Electronics - Unfunded Revolver,MCE (Revolver),Mission Critical Electronics,First Lien
Mission Critical Electronics Inc.,MCE (TL),Mission Critical Electronics,First Lien
"Mission Critical Electronics, Inc.",MCE (TL),Mission Critical Electronics,First Lien
"Mission Critical Electronics, Inc. - Unfunded Term Loan",MCE (DDTL),Mission Critical Electronics,First Lien
Mitchell International Inc.,Mitchell (TL),Mitchell,First Lien
"Municipal Emergency Services, Inc.",MES (Term Loan),MES,First Lien
"Municipal Emergency Services, Inc. ",MES (Term Loan),MES,First Lien
"Municipal Emergency Services, Inc. (Common)",MES (Common Equity),MES,Common Equity
"Municipal Emergency Services, Inc. - DDTL",MES (DDTL),MES,First Lien
"Municipal Emergency Services, Inc. - Funded Revolver",MES (Revolver),MES,First Lien
"Municipal Emergency Services, Inc. - Unfunded Revolver",MES (Revolver),MES,First Lien
"Municipal Emergency Services, Inc. - Unfunded Term Loan",MES (DDTL),MES,First Lien
NBH Group LLC,Nevada Behavioral Health Systems (Term Loan),Nevada Behavioral Health Systems,First Lien
NBH Group LLC - Unfunded Revolver,Nevada Behavioral Health Systems (Revolver),Nevada Behavioral Health Systems,First Lien
"NEPRT Parent Holdings, LLC",Recteq (Equity),Recteq,Common Equity
"NEPRT Parent Holdings, LLC (Recteq, LLC)",Recteq (Equity),Recteq,Common Equity
"NEPRT Parent Holdings, LLC - Common Equity",Recteq (Equity),Recteq,Common Equity
"NEW MEDINA HEALTH, LLC",Comprehensive Rehab Consultants (Common Equity),Comprehensive Rehab Consultants,Common Equity
NFS-CFP Holdings LLC,Commercial Fire Protection (Revolver),Commercial Fire Protection,First Lien
NFS-CFP Holdings LLC,Commercial Fire Protection (Common Equity),Commercial Fire Protection,Common Equity
NFS-CFP Holdings LLC,Commercial Fire Protection (Term Loan),Commercial Fire Protection,First Lien
NFS-CFP Holdings LLC,Commercial Fire Protection (DDTL),Commercial Fire Protection,First Lien
"NL Monarch Holdings, LLC",SelectQuote (Common Equity),SelectQuote,Common Equity
"NORA ACQUISITION, LLC",NORA (Term Loan),NORA,First Lien
"NORA ACQUISITION, LLC",NORA (Revolver),NORA,First Lien
"NORA PARENT HOLDINGS, LLC",NORA (Common Equity),NORA,Common Equity
"NORTH AMERICAN RAIL SOLUTIONS, LLC",North American Rail Solutions (Revolver),North American Rail Solutions,First Lien
"NORTH AMERICAN RAIL SOLUTIONS, LLC",North American Rail Solutions (Term Loan),North American Rail Solutions,First Lien
"NORTH AMERICAN RAIL SOLUTIONS, LLC",North American Rail Solutions (DDTL),North American Rail Solutions,First Lien
"NXOF Holdings, Inc. (Tyto Athene, LLC) (Common)",Tyto Athene (Equity),Tyto Athene,Common Equity
"NXOF Holdings, Inc. (Tyto Athene, LLC) (Preferred)",Tyto Athene (Pref),Tyto Athene,Preferred Equity
Neptune Flood Incorporated,Neptune Flood (Term Loan),Neptune Flood,First Lien
"Neptune Platform Buyer, LLC",Pegasus Steel (DDTL),Pegasus Steel,First Lien
"Neptune Platform Buyer, LLC",Pegasus Steel (Term Loan),Pegasus Steel,First Lien
Nevada Behavioral Health Systems,Nevada Behavioral Health Systems (Revolver),Nevada Behavioral Health Systems,First Lien
"New Insight Holdings, Inc",Research Now / SSI (Common Equity),Research Now/SSI,First Lien
"New MPE Holdings, LLC",Marketplace Events (Equity),Marketplace Events,Common Equity
New Milani Group LLC,Milani (TL),Milani,First Lien
"North Haven Saints Equity Holdings, LP",SpendMend (Common Equity),SpendMend,Common Equity
Northwinds Services Group LLC,Northwinds (Common Equity),Northwinds ,Common Equity
"Northwinds Topco, INC.",Northwinds (Holdco Notes),Northwinds,Subordinated Debt
"Northwinds Topco, INC.",Northwinds (Holdco Notes DDTL),Northwinds ,Subordinated Debt
"Northwinds Topco, INC.",Northwinds (Holdco Notes),Northwinds ,Subordinated Debt
Nuvei Technologies Corp.,Nuvei (Term Loan),Nuvei,First Lien
"OHCP V BC COI, L.P.",Berlin Packaging (Common Equity),Berlin Packaging,Common Equity
"OHCP V BC COI, L.P. - Unfunded",Berlin Packaging (Common Equity),Berlin Packaging,Common Equity
"OIS Management Services, LLC",Paradigm Oral Surgery (Term Loan),Paradigm Oral Surgery,First Lien
"OIS Management Services, LLC - Unfunded Revolver",Paradigm Oral Surgery (Revolver),Paradigm Oral Surgery,First Lien
"OIS Management Services, LLC - Unfunded Term Loan",Paradigm Oral Surgery (DDTL),Paradigm Oral Surgery,First Lien
"OMNIA EXTERIOR SOLUTIONS, LLC",Omnia (Equity),Omnia,Common Equity
"OMNIA EXTERIOR SOLUTIONS, LLC",Omnia (TL),Omnia,First Lien
"OMNIA EXTERIOR SOLUTIONS, LLC",Omnia (DTTL 2),Omnia,First Lien
"OMNIA EXTERIOR SOLUTIONS, LLC",Omnia (Revolver),Omnia,First Lien
"OMNIA EXTERIOR SOLUTIONS, LLC",Omnia (DDTL 1),Omnia,First Lien
"ORL Acquisition, Inc.",OpenRoad Lending (Term Loan),OpenRoad Lending,First Lien
"ORL Acquisition, Inc. - Unfunded Revolver",OpenRoad Lending (Revolver),OpenRoad Lending,First Lien
"ORL Holdco, Inc - Common Equity",OpenRoad Lending (Common Equity),OpenRoad Lending,Common Equity
"ORL Holdco, Inc - Preferred Equity",OpenRoad Lending (Preferred Equity),OpenRoad Lending,Preferred Equity
"ORL Holdco, Inc. (Common)",OpenRoad Lending (Common Equity),OpenRoad Lending,Common Equity
"ORL Holdco, Inc. (Preferred)",OpenRoad Lending (Preferred Equity),OpenRoad Lending,Preferred Equity
"OSP EMBEDDED AGGREGATOR, LP",Lynx Technologies (Common Equity),Lynx Technologies,Common Equity
"OSP EMBEDDED PURCHASER, LLC",Lynx Technologies (Revolver),Lynx Technologies,First Lien
"OSP EMBEDDED PURCHASER, LLC",Lynx Technologies (TL),Lynx Technologies,First Lien
"OSP PAR Aggregator, LP.",PAR Excellence (Common Equity),PAR Excellence,Common Equity
"OWL ACQUISITION, LLC",Wilson (TL),Wilson Language Training,First Lien
"OceanSound Discovery Equity, LP",Smartronix / Trident (Common Equity),Smartronix / Trident,Common Equity
"OceanSound Discovery Equity, LP (Holdco Sands Intermediate, LLC)",Smartronix / Trident (Common Equity),Smartronix / Trident,Common Equity
Omnia,Omnia (Equity),Omnia,Common Equity
Omnia,Omnia (TL),Omnia,First Lien
Omnia,Omnia (Revolver),Omnia,First Lien
Omnia,Omnia (DDTL 1),Omnia,First Lien
Omnia,Omnia (DTTL 2),Omnia,First Lien
"One Stop Mailing, LLC",OSM (Term Loan),OSM,First Lien
OpenRoad Lending,OpenRoad Lending (Term Loan),OpenRoad Lending,First Lien
OpenRoad Lending - Unfunded Revolver,OpenRoad Lending (Revolver),OpenRoad Lending,First Lien
"Oral Surgery (ITC) Holdings, LLC",Paradigm Oral Surgery (Equity),Paradigm Oral Surgery,Common Equity
Orion,Orion (TL),Orion,First Lien
"Outcomes Group Holdings, Inc.",Paradigm (Term Loan),Paradigm  ,First Lien
"Output Services Group, Inc.",OSG (Common Equity),OSG Billing Services,Common Equity
"Output Services Group, Inc.",OSG (TL),OSG Billing Services,First Lien
"Output Services Group, Inc. - DDTL",OSG (DDTL),OSG Billing Services,First Lien
"Output Services Group, Inc. - Unfunded  Term Loan",OSG (DDTL),OSG Billing Services,First Lien
"Output Services Group, Inc. - Unfunded Term Loan",OSG (DDTL),OSG Billing Services,First Lien
"Ox Two, LLC",Ox (Term Loan),Ox,First Lien
"Ox Two, LLC   ",Ox (Term Loan),Ox,First Lien
"Ox Two, LLC (New Issue)",Ox (Term Loan),Ox,First Lien
"Ox Two, LLC - Funded Revolver",Ox (Revolver),Ox,First Lien
"Ox Two, LLC - Funded Revolver (New Issue)",Ox (Revolver),Ox,First Lien
"Ox Two, LLC - Unfunded Revolver",Ox (Revolver),Ox,First Lien
"Ox Two, LLC - Unfunded Revolver (New Issue)",Ox (Revolver),Ox,First Lien
P.Sabel InvestCo LP.,Sabel Systems (Common Equity),Sabel Systems,Common Equity
"PAR EXCELLENCE HOLDINGS, INC.",PAR Excellence (Term Loan),PAR Excellence,First Lien
"PAR EXCELLENCE HOLDINGS, INC.",PAR Excellence (Revolver),PAR Excellence,First Lien
"PCS MIDCO, INC.",PCS Retirement (Term Loan),PCS Retirement,First Lien
"PCS MIDCO, INC.",PCS Retirement (DDTL),PCS Retirement,First Lien
"PCS MIDCO, INC.",PCS Retirement (Revolver),PCS Retirement,First Lien
"PCS Midco, Inc.",PCS Retirement (Common Equity),PCS Retirement,Common Equity
"PD Tri-State Holdco, LLC",PDS Tri-State (Term Loan),PDS Tri-State,First Lien
"PH Beauty Holdings III, Inc.",Paris Presents,Paris Presents,First Lien
PL Acquisitionco - Equity,Pink Lily (Equity),Pink Lily,Common Equity
"PL Acquisitionco, LLC",Pink Lily (Term Loan),Pink Lily,First Lien
"PL Acquisitionco, LLC - Funded Revolver",Pink Lily (Revolver),Pink Lily,First Lien
"PL Acquisitionco, LLC - Unfunded Revolver",Pink Lily (Revolver),Pink Lily,First Lien
PN Buyer Inc.,Penta (Revolver),Penta,First Lien
PN Buyer Inc.,Penta (Common Equity),Penta,Common Equity
PN Buyer Inc.,Penta (DDTL),Penta,First Lien
PN Buyer Inc.,Penta (Term Loan),Penta,First Lien
"PRA Events, Inc.",APRA (Term Loan),APRA,First Lien
"PRA Events, Inc. - Funded Revolver",APRA (Revolver),APRA,First Lien
"PRA Events, Inc. - Unfunded Revolver",APRA (Revolver),APRA,First Lien
"PROJECT GRANITE BUYER, INC",Tranzact (DDTL),Tranzact,First Lien
"PROJECT GRANITE BUYER, INC",Tranzact (Revolver),Tranzact,First Lien
"PROJECT GRANITE BUYER, INC",Tranzact (Term Loan),Tranzact,First Lien
"PT Network Intermediate Holdings, LLC (ALL PIK)",PT Network (TL),"",Second Lien
"PT Network Intermediate Holdings, LLC (Common)",PT Network (Common),"",Common Equity
"PT Network Intermediate Holdings, LLC (Preferred)",PT Network (Pref),"",Preferred Equity
"PT Network, LLC",PT Network (TL),"",Second Lien
"PT Network, LLC (All PIK)",PT Network (TL),"",Second Lien
"Pacific Purchaser, LLC ",ProSearch (TL),ProSearch,First Lien
"Pacific Purchaser, LLC ",ProSearch (Revolver),ProSearch,First Lien
"Pacific Purchaser, LLC ",ProSearch (DDTL),ProSearch,First Lien
Parq Holdings Limited Partnership,Parq (2L),"",Second Lien
Paving Lessor Corp.,C&K Paving Contractors (Term Loan),C&K Paving Contractors,First Lien
Paving Lessor Corp.,C&K Paving Contractors (Common Equity),C&K Paving Contractors,Common Equity
Paving Lessor Corp.,C&K Paving Contractors (DDTL),C&K Paving Contractors,First Lien
"Peninsula Pacific Entertainment Development, LLC",Peninsula Pacific Entertainment (DDTL B),Peninsula Pacific Entertainment,First Lien
"Peninsula Pacific Entertainment Development, LLC",Peninsula Pacific Entertainment (Term Loan B),Peninsula Pacific Entertainment,First Lien
Peninsula Pacific Entertainment LLC,Colonial Downs (TL),"",First Lien
Peninsula Pacific Entertainment LLC - Unfunded Term Loan,Colonial Downs (DDTL),"",First Lien
PennantPark Senior Secured Loan Fund I LLC,"","",""
Pequod Merger Sub Inc.,Simplicity Group (Revolver),Simplicity Group,First Lien
Pequod Merger Sub Inc.,Simplicity Group (DDTL),Simplicity Group,First Lien
Pequod Merger Sub Inc.,Simplicity Group (TL),Simplicity Group,First Lien
"Perforce Software, Inc.",Perforce (Term Loan),"",First Lien
"Perforce Software, Inc. - Funded Revolver",Perforce (Revolver),"",First Lien
"Perforce Software, Inc. - Unfunded Revolver",Perforce (Revolver),"",First Lien
Pestell Minerals and Ingredients Inc.,Pestell (Term Loan),"",First Lien
"Pink Lily Holdco, LLC",Pink Lily (Equity),Pink Lily,Common Equity
"Pinnacle Clinical Research, LLC",Pinnacle Clinical Research (Term Loan),Pinnacle Clinical Research,First Lien
"Plant Health Intermediate, Inc.",Douglas (Term Loan),Douglas,First Lien
"Planview Parent, Inc.",Planview (TL),Planview,First Lien
"PlayPower, Inc.",PlayPower (Term Loan),PlayPower,First Lien
"Podean Buyer, LLC",Podean (Common Equity),Podean,Common Equity
"Podean Buyer, LLC",Podean (Term Loan),Podean,First Lien
"Podean Buyer, LLC",Podean (Revolver),Podean,First Lien
Pragmatic Holdings Group LP,Pragmatic Institute (Common),Pragmatic Institute,Common Equity
"Pragmatic Institute, LLC",Pragmatic Institute (TL),Pragmatic Institute,First Lien
"Pragmatic Institute, LLC - Revolver",Pragmatic Institute (Revolver),Pragmatic Institute,First Lien
"Pragmatic Institute, LLC - Unfunded Term Loan",Pragmatic Institute (DDTL),Pragmatic Institute,First Lien
"Project Granite Holdings, LLC",Tranzact (Common Equity),Tranzact,Common Equity
"Provation Medical, Inc.",Provation Medical (Term Loan),"",Second Lien
"Puget Collision, LLC",Puget Collision (Revolver),Puget Collision,First Lien
"Puget Collision, LLC",Puget Collision (Incr. DDTL),Puget Collision,First Lien
QuantiTech InvestCo II LP,QuantiTech (Common Equity II),QuantiTech,Common Equity
QuantiTech InvestCo LP,QuantiTech (Common Equity I),QuantiTech,Common Equity
QuantiTech InvestCo LP - Unfunded,QuantiTech (Common Equity I),QuantiTech,Common Equity
QuantiTech LLC,QuantiTech (Second Lien),QuantiTech,Second Lien
Quantic Electronics - Unfunded Revolver,Quantic Electronics (Revolver),Quantic Electronics,First Lien
Quantic Electronics - Unfunded Term Loan,Quantic Electronics (DDTL),Quantic Electronics,First Lien
"Quantic Electronics, LLC",Quantic Electronics (Term Loan),Quantic Electronics,First Lien
"Quantic Electronics, LLC - Funded Revolver",Quantic Electronics (Revolver),Quantic Electronics,First Lien
"Quantic Electronics, LLC - Unfunded Revolver",Quantic Electronics (Revolver),Quantic Electronics,First Lien
"Quantic Electronics, LLC - Unfunded Term Loan",Quantic Electronics (DDTL),Quantic Electronics,First Lien
"Questex, LLC",Questex (TL),Questex,First Lien
"Questex, LLC - Funded Revolver",Questex (Revolver),Questex,First Lien
"Questex, LLC - Unfunded Revolver",Questex (Revolver),Questex,First Lien
RAM Energy Holdings LLC ,Ram (Term Loan),RAM Energy,First Lien
RAM Energy Holdings LLC - Funded Revolver,Ram (Revolver),RAM Energy,First Lien
RAM Energy Holdings LLC(Common),Ram (Equity),RAM Energy,Common Equity
RFMG Parent LP,Rancho (Equity),Rancho Medical,Common Equity
"RFMG Parent, LP",Rancho (Equity),Rancho Medical,Common Equity
"RRA CORPORATE, LLC",Roofed Right America (DDTL 2),Roofed Right America,First Lien
"RRA CORPORATE, LLC",Roofed Right America (DDTL 1),Roofed Right America,First Lien
"RRA CORPORATE, LLC",Roofed Right America (Revolver),Roofed Right America,First Lien
"RRA CORPORATE, LLC",Roofed Right America (Term Loan),Roofed Right America,First Lien
"RTIC Parent Holdings, LLC",RTIC (Preferred Equity B),RTIC,Preferred Equity
"RTIC Parent Holdings, LLC",RTIC (Common Equity),RTIC,Common Equity
"RTIC Parent Holdings, LLC",RTIC (Preferred Equity A),RTIC,Preferred Equity
"RTIC Parent Holdings, LLC (Common)",RTIC (Common Equity),RTIC,Common Equity
"RTIC Parent Holdings, LLC (Preferred A)",RTIC (Preferred Equity A),RTIC,Preferred Equity
"RTIC Parent Holdings, LLC (Preferred B)",RTIC (Preferred Equity B),RTIC,Preferred Equity
"RTIC Parent Holdings, LLC (Preferred C)",RTIC (Preferred Equity C),RTIC,Preferred Equity
"RTIC Parent Holdings, LLC (Preferred D)",RTIC (Preferred Equity D),RTIC,Preferred Equity
"RTIC Subsidiary Holdings, LLC",RTIC (TL),RTIC,First Lien
"RTIC Subsidiary Holdings, LLC - Funded Revolver",RTIC (Revolver),RTIC,First Lien
"RTIC Subsidiary Holdings, LLC - Unfunded Revolver",RTIC (Revolver),RTIC,First Lien
"Radius Aerospace, Inc.",Radius Aerospace (Term Loan),Radius Aerospace,First Lien
"Radius Aerospace, Inc. - Funded Revolver",Radius Aerospace (Revolver),Radius Aerospace,First Lien
"Radius Aerospace, Inc. - Unfunded Revolver",Radius Aerospace (Revolver),Radius Aerospace,First Lien
Rancho,Rancho (TL),Rancho Medical,First Lien
"Rancho Health MSO, Inc.",Rancho (TL),Rancho Medical,First Lien
"Rancho Health MSO, Inc.  - Unfunded Term Loan",Rancho (DDTL),Rancho Medical,First Lien
"Rancho Health MSO, Inc. - Funded Revolver",Rancho (Revolver),Rancho Medical,First Lien
"Rancho Health MSO, Inc. - Unfunded Revolver",Rancho (Revolver),Rancho Medical,First Lien
"Rancho Health MSO, Inc. - Unfunded Term Loan",Rancho (DDTL),Rancho Medical,First Lien
"Real Life Holdings, LLC",Real Life Residential (Common Equity),Real Life Residential,Common Equity
"Real Life Intermediate Holdings, LLC",Real Life Residential (DDTL),Real Life Residential,First Lien
"Real Life Intermediate Holdings, LLC",Real Life Residential (Term Loan),Real Life Residential,First Lien
"Real Life Intermediate Holdings, LLC",Real Life Residential (Revolver),Real Life Residential,First Lien
"Reception Purchaser, LLC",STG (Second Out Term Loans),STG Logistics,First Lien
"Reception Purchaser, LLC",STG (TL),STG Logistics,First Lien
"Reception Purchaser, LLC",STG (First Out New Money Term Loans),STG Logistics,First Lien
"Recteq, LLC",Recteq (TL),Recteq,First Lien
"Recteq, LLC - Funded Revolver",Recteq (Revolver),Recteq,First Lien
"Recteq, LLC - Revolver",Recteq (Revolver),Recteq,First Lien
"Recteq, LLC - Term Loan",Recteq (TL),Recteq,First Lien
"Recteq, LLC - Unfunded Revolver",Recteq (Revolver),Recteq,First Lien
"Research Horizons, LLC",Research Horizons (TL),"",First Lien
"Research Horizons, LLC - Delayed Draw Term Loan",Research Horizons (DDTL),"",First Lien
"Research Horizons, LLC - Funded Revolver",Research Horizons (Rev),"",First Lien
"Research Horizons, LLC - Unfunded Revolver",Research Horizons (Rev),"",First Lien
"Research Horizons, LLC - Unfunded Term Loan",Research Horizons (DDTL),"",First Lien
"Research Now Group, Inc.",Research Now / SSI (1st),Research Now/SSI,First Lien
"Research Now Group, Inc. and Survey Sampling International LLC",Research Now / SSI (1st),Research Now/SSI,First Lien
"Research Now Group, LLC",Research Now / SSI (1st),Research Now/SSI,First Lien
"Research Now Group, LLC and Dynata, LLC",Research Now / SSI (SOTL),Research Now/SSI,First Lien
"Research Now Group, LLC and Dynata, LLC",Research Now / SSI (1st),Research Now/SSI,First Lien
"Research Now Group, LLC and Dynata, LLC",Research Now / SSI (FOTL),Research Now/SSI,First Lien
"Riverpoint Medical, LLC",Riverpoint Medical (TL),Riverpoint,First Lien
"Riverpoint Medical, LLC",Riverpoint Medical (Incremental TL),Riverpoint,First Lien
"Riverpoint Medical, LLC - Funded Revolver",Riverpoint Medical (Revolver),Riverpoint,First Lien
"Riverpoint Medical, LLC - Unfunded Revolver",Riverpoint Medical (Revolver),Riverpoint,First Lien
"Riverside Assessments, LLC",Riverside Insights (FLLO),Riverside Insights,First Lien
"Riverside Assessments, LLC ",Riverside Insights (FLLO),Riverside Insights,First Lien
"Ro Health Holdings, Inc.",Ro Health (Common Equity),Ro Health ,Common Equity
"Ro Health, LLC ",Ro Health (Revolver),Ro Health ,First Lien
"Ro Health, LLC ",Ro Health (Term Loan),Ro Health ,First Lien
"Rosco Parent, LLC",Rosco (Revolver),Rosco,First Lien
"Rosco Parent, LLC",Rosco (Common Equity),Rosco,Common Equity
"Rosco Parent, LLC",Rosco (Term Loan),Rosco,First Lien
Route 66 Development Authority,Harrah's Oklahoma (Term Loan),Harrah's Oklahoma,First Lien
"Rural Sourcing Holdings, Inc. (HPA SPQ Merger Sub, Inc.)",Sparq (TL),Sparq,First Lien
"S101 ACQUISITION, INC.",Security 101 (Revolver),Security 101,First Lien
"S101 ACQUISITION, INC.",Security 101 (TL),Security 101,First Lien
"S101 ACQUISITION, INC.",Security 101 (DDTL),Security 101,First Lien
"SAFE HAVEN DEFENSE US, LLC",Safe Haven (Revolver),Safe Haven,First Lien
"SAFE HAVEN DEFENSE US, LLC",Safe Haven (Common Equity),Safe Haven,Common Equity
"SAFE HAVEN DEFENSE US, LLC",Safe Haven (Term Loan),Safe Haven,First Lien
SBI Holdings Investments LLC,Sales Benchmark Index (Equity),Sales Benchmark Index (SBI),Common Equity
SBI Holdings Investments LLC (Sales Benchmark Index LLC),Sales Benchmark Index (Equity),Sales Benchmark Index (SBI),Common Equity
SBI LLC - Common Equity,Sales Benchmark Index (Equity),Sales Benchmark Index (SBI),Common Equity
SD InvestCo GP LLC ,Sigma Defense (Equity),Sigma Defense,Common Equity
"SFP Holding, Inc.",Summit Companies (Term Loan),"",First Lien
"SFP Holding, Inc. - Funded Revolver",Summit Companies (Revolver),"",First Lien
"SFP Holding, Inc. - Unfunded Revolver",Summit Companies (Revolver),"",First Lien
"SFP Holding, Inc. - Unfunded Term Loan",Summit Companies (DDTL),"",First Lien
SP L2 Holdings LLC - Equity,Ledge Lounger (Equity),Ledge Lounger,Common Equity
"SP L2 Holdings, LLC",Ledge Lounger (Equity),Ledge Lounger,Common Equity
SPENDMEND HOLDINGS LLC,SpendMend (Term Loan),SpendMend,First Lien
SPENDMEND HOLDINGS LLC - Funded Revolver,SpendMend (Revolver),SpendMend,First Lien
SPENDMEND HOLDINGS LLC - Unfunded Revolver,SpendMend (Revolver),SpendMend,First Lien
SPENDMEND HOLDINGS LLC - Unfunded Term Loan,SpendMend (DDTL),SpendMend,First Lien
"SSC Dominion Holdings, LLC - Class A (US Dominion, Inc.)",Dominion Voting (Equity),Dominion Voting Systems,Common Equity
"SSC Dominion Holdings, LLC - Class B (US Dominion, Inc.)",Dominion Voting (Equity),Dominion Voting Systems,Common Equity
STV Group Incorporated,STV Group (TL),STV Group,First Lien
"SV-Aero Holdings, LLC",Aeronix (DDTL),Aeronix,First Lien
"SV-Aero Holdings, LLC",Aeronix (Common Equity),Aeronix,Common Equity
Sabai Group LLC,Sabai Group (Term Loan),Sabai Group,First Lien
"Sabel Systems Technology Solutions, LLC",Sabel Systems (Term Loan),Sabel Systems,First Lien
"Sabel Systems Technology Solutions, LLC",Sabel Systems (Revolver),Sabel Systems,First Lien
Sales Benchmark Index LLC,Sales Benchmark Index (TL),Sales Benchmark Index (SBI),First Lien
Sales Benchmark Index LLC - DDTL,Sales Benchmark Index (DDTL),Sales Benchmark Index (SBI),First Lien
Sales Benchmark Index LLC - Funded Revolver,Sales Benchmark Index (Revolver),Sales Benchmark Index (SBI),First Lien
Sales Benchmark Index LLC - Unfunded  Term Loan,Sales Benchmark Index (DDTL),Sales Benchmark Index (SBI),First Lien
Sales Benchmark Index LLC - Unfunded Revolver,Sales Benchmark Index (Revolver),Sales Benchmark Index (SBI),First Lien
Sales Benchmark Index LLC - Unfunded Term Loan,Sales Benchmark Index (DDTL),Sales Benchmark Index (SBI),First Lien
Salient CRGT Inc.,SalientCRGT,"",First Lien
Sargent & Greenleaf Inc.,Sargent & Greenleaf (Term Loan),Sargent & Greenleaf,First Lien
Sargent & Greenleaf Inc. - Funded Revolver,Sargent & Greenleaf (Revolver),Sargent & Greenleaf,First Lien
Sargent & Greenleaf Inc. - Unfunded Revolver,Sargent & Greenleaf (Revolver),Sargent & Greenleaf,First Lien
"Sargent & Greenleaf, Inc.",Sargent & Greenleaf (Term Loan),Sargent & Greenleaf,First Lien
"Sargent & Greenleaf, Inc. - Funded Revolver",Sargent & Greenleaf (Revolver),Sargent & Greenleaf,First Lien
"Sargent & Greenleaf, Inc. - Unfunded Revolver",Sargent & Greenleaf (Revolver),Sargent & Greenleaf,First Lien
"Schlesinger Global, Inc.",Schlesinger (Term Loan),Schlesinger,First Lien
"Schlesinger Global, Inc. - Funded Revolver",Schlesinger (Revolver),Schlesinger,First Lien
"Schlesinger Global, Inc. - Unfunded Revolver",Schlesinger (Revolver),Schlesinger,First Lien
"Schlesinger Global, Inc. - Unfunded Term Loan",Schlesinger (DDTL),Schlesinger,First Lien
"Scp Clinical Research Intermediate Holdings, LLC",PhaseWell Research (Revolver),PhaseWell Research,First Lien
"Scp Clinical Research Intermediate Holdings, LLC",PhaseWell Research (DDTL),PhaseWell Research,First Lien
"Scp Clinical Research Intermediate Holdings, LLC",PhaseWell Research (Term Loan),PhaseWell Research,First Lien
"Seacoast Service Partners NA, LLC ",Seacoast Service Partners (Revolver),Seacoast Service Partners,First Lien
"Seacoast Service Partners NA, LLC ",Seacoast Service Partners (DDTL),Seacoast Service Partners,First Lien
"Seacoast Service Partners NA, LLC ",Seacoast Service Partners (Term Loan),Seacoast Service Partners,First Lien
"Seacoast Service Partners, LLC",Seacoast Service Partners (Common Equity),Seacoast Service Partners,Common Equity
"Seacoast Service Partners, LLC ",Seacoast Service Partners (Common Equity),Seacoast Service Partners,Common Equity
"Seaway Buyer, LLC",Seaway (TL),Seaway Plastics,First Lien
